transaction_id,item
0,"(23, '29')"
0,"(23, '29')"
0,"(10, '29')"
0,"(16, '29')"
0,"(5, '29')"
0,"(12, '29')"
0,"(18, '30')"
0,"(10, '30')"
0,"(19, '30')"
0,"(10, '30')"
0,"(5, '30')"
0,"(16, '30')"
0,"(10, '30')"
0,"(16, '30')"
0,"(16, '30')"
0,"(16, '30')"
0,"(13, '30')"
0,"(5, '30')"
0,"(35, '30')"
0,"(23, '30')"
0,"(10, '30')"
0,"(10, '30')"
0,"(12, '30')"
0,"(5, '30')"
0,"(5, '30')"
0,"(18, '30')"
0,"(18, '30')"
0,"(16, '30')"
0,"(16, '30')"
0,"(13, '30')"
0,"(10, '30')"
0,"(16, '30')"
0,"(12, '30')"
0,"(23, '30')"
0,"(26, '30')"
0,"(23, '30')"
0,"(32, '30')"
0,"(25, '30')"
1,"(16, '1')"
1,"(10, '1')"
1,"(10, '1')"
1,"(10, '1')"
1,"(10, '1')"
1,"(18, '1')"
1,"(19, '1')"
1,"(16, '1')"
1,"(16, '1')"
1,"(19, '1')"
1,"(10, '1')"
1,"(10, '1')"
1,"(10, '1')"
1,"(23, '1')"
1,"(13, '1')"
1,"(18, '1')"
1,"(5, '1')"
1,"(16, '1')"
1,"(10, '1')"
1,"(10, '1')"
1,"(16, '1')"
1,"(23, '1')"
1,"(16, '1')"
1,"(12, '1')"
1,"(32, '1')"
1,"(25, '2')"
1,"(16, '2')"
1,"(23, '2')"
1,"(19, '2')"
1,"(23, '2')"
1,"(16, '2')"
1,"(23, '2')"
1,"(32, '2')"
1,"(25, '2')"
1,"(18, '2')"
1,"(10, '2')"
1,"(23, '2')"
1,"(23, '2')"
1,"(23, '2')"
1,"(10, '2')"
1,"(10, '2')"
1,"(16, '2')"
1,"(16, '2')"
1,"(27, '2')"
1,"(18, '2')"
1,"(16, '2')"
1,"(16, '2')"
1,"(18, '2')"
1,"(18, '3')"
1,"(23, '3')"
1,"(23, '3')"
1,"(10, '3')"
1,"(10, '3')"
1,"(16, '3')"
1,"(25, '3')"
1,"(16, '3')"
1,"(23, '3')"
1,"(16, '3')"
1,"(12, '3')"
1,"(32, '3')"
1,"(16, '3')"
1,"(18, '3')"
1,"(13, '3')"
1,"(16, '3')"
1,"(13, '3')"
1,"(19, '3')"
1,"(23, '3')"
1,"(12, '3')"
1,"(5, '3')"
1,"(10, '3')"
1,"(23, '3')"
1,"(23, '3')"
1,"(12, '3')"
1,"(16, '3')"
1,"(18, '3')"
1,"(10, '3')"
1,"(18, '3')"
1,"(10, '4')"
1,"(10, '4')"
1,"(19, '4')"
1,"(16, '4')"
1,"(16, '4')"
1,"(16, '4')"
1,"(16, '4')"
1,"(16, '4')"
1,"(18, '4')"
1,"(19, '4')"
1,"(19, '4')"
1,"(10, '4')"
1,"(10, '4')"
1,"(12, '4')"
1,"(23, '4')"
1,"(12, '4')"
1,"(12, '4')"
1,"(10, '4')"
1,"(16, '4')"
1,"(16, '4')"
1,"(23, '4')"
1,"(36, '4')"
1,"(19, '4')"
1,"(23, '4')"
1,"(19, '4')"
1,"(26, '4')"
1,"(8, '4')"
1,"(18, '4')"
1,"(18, '4')"
1,"(18, '5')"
1,"(16, '5')"
1,"(18, '5')"
1,"(18, '5')"
1,"(10, '5')"
1,"(23, '5')"
1,"(23, '5')"
1,"(16, '5')"
1,"(16, '5')"
1,"(23, '5')"
1,"(16, '5')"
1,"(16, '5')"
1,"(18, '5')"
1,"(23, '5')"
1,"(16, '5')"
1,"(16, '5')"
1,"(25, '5')"
1,"(18, '5')"
1,"(5, '5')"
1,"(10, '5')"
1,"(32, '5')"
1,"(19, '6')"
1,"(23, '6')"
1,"(18, '6')"
1,"(23, '6')"
1,"(10, '6')"
1,"(32, '6')"
1,"(18, '6')"
1,"(16, '6')"
1,"(16, '6')"
1,"(16, '6')"
1,"(27, '6')"
1,"(5, '6')"
1,"(10, '6')"
1,"(16, '6')"
1,"(16, '6')"
1,"(23, '6')"
1,"(16, '6')"
1,"(18, '7')"
1,"(18, '7')"
1,"(16, '7')"
1,"(16, '7')"
1,"(16, '7')"
1,"(19, '7')"
1,"(10, '7')"
1,"(10, '7')"
1,"(23, '7')"
1,"(10, '7')"
1,"(16, '7')"
1,"(10, '7')"
1,"(16, '7')"
1,"(16, '7')"
1,"(16, '7')"
1,"(12, '7')"
1,"(10, '7')"
